.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR562614_2	1	0.25	0.5	1	0.25	1	1	1	0.25	0.25	0.5
ERR562616_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1
ERR562616_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562619_1	1	0.25	0.25	1	0.25	1	1	1	0.25	0.25	1
ERR562619_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562638_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562638_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562643_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562643_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562646_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1
ERR562646_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562647_1	1	0.25	0.5	1	0.25	1	1	1	0.25	0.25	0.5
ERR562647_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562657_1	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR562657_2	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR562659_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
ERR562659_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562664_1	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR562664_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562665_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
ERR562665_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	0.5
ERR562667_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR562667_2	1	0.25	0.25	1	0.25	0.25	0.25	1	0.25	0.25	0.25
ERR562670_1	1	0.25	0.25	1	0.25	1	1	1	0.25	0.25	1
ERR562670_2	1	0.25	0.25	1	0.25	1	1	1	0.25	0.25	1
ERR562700_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562700_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562702_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562702_2	1	0.25	0.25	1	0.25	0.25	0.5	1	0.25	0.25	1
