Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR1755944_1	(32, 14486.0)	(37, 8256.0)	(42, 6334.0)	(47, 5019.0)	(52, 9056.0)	(57, 6596.0)	(62, 5722.0)	(67, 3709.0)	(72, 4170.0)	(77, 7050.0)	(82, 6288.0)	(87, 6877.0)	(92, 6074.0)	(97, 5996.0)	(102, 6583.0)	(107, 9150.0)	(112, 13055.0)	(117, 15944.0)	(122, 12037.0)	(127, 17224.0)	(132, 25668.0)	(137, 35565.0)	(142, 25081.0)	(147, 18675.0)	(151, 122826.0)
ERR1755944_2	(32, 14820.0)	(37, 4414.0)	(42, 3132.0)	(47, 6023.0)	(52, 8091.0)	(57, 8080.0)	(62, 10607.0)	(67, 7705.0)	(72, 5967.0)	(77, 9998.0)	(82, 7568.0)	(87, 7605.0)	(92, 6993.0)	(97, 7548.0)	(102, 8404.0)	(107, 10687.0)	(112, 13804.0)	(117, 16679.0)	(122, 23204.0)	(127, 23161.0)	(132, 21656.0)	(137, 34402.0)	(142, 28123.0)	(147, 23572.0)	(151, 85198.0)
ERR1755946_1	(32, 37201.0)	(37, 24267.0)	(42, 15936.0)	(47, 9964.0)	(52, 18073.0)	(57, 28841.0)	(62, 15433.0)	(67, 9526.0)	(72, 8511.0)	(77, 23479.0)	(82, 19368.0)	(87, 20073.0)	(92, 22877.0)	(97, 19909.0)	(102, 30708.0)	(107, 48892.0)	(112, 80832.0)	(117, 72350.0)	(122, 34249.0)	(127, 53129.0)	(132, 57484.0)	(137, 99274.0)	(142, 80373.0)	(147, 37169.0)	(151, 351842.0)
ERR1755946_2	(32, 15116.0)	(37, 21027.0)	(42, 14773.0)	(47, 16658.0)	(52, 19738.0)	(57, 28141.0)	(62, 24099.0)	(67, 13063.0)	(72, 11731.0)	(77, 32394.0)	(82, 23571.0)	(87, 23405.0)	(92, 24495.0)	(97, 19663.0)	(102, 26830.0)	(107, 43971.0)	(112, 65636.0)	(117, 71180.0)	(122, 74396.0)	(127, 86956.0)	(132, 57424.0)	(137, 132254.0)	(142, 89666.0)	(147, 54131.0)	(151, 229442.0)
ERR1755949_1	(32, 30637.0)	(37, 18333.0)	(42, 19887.0)	(47, 12277.0)	(52, 18105.0)	(57, 18124.0)	(62, 14456.0)	(67, 9054.0)	(72, 9843.0)	(77, 15551.0)	(82, 15471.0)	(87, 15855.0)	(92, 17510.0)	(97, 16760.0)	(102, 19959.0)	(107, 28741.0)	(112, 39903.0)	(117, 46636.0)	(122, 34067.0)	(127, 40674.0)	(132, 59981.0)	(137, 59330.0)	(142, 51545.0)	(147, 32483.0)	(151, 157570.0)
ERR1755949_2	(32, 17761.0)	(37, 11742.0)	(42, 9224.0)	(47, 15276.0)	(52, 14619.0)	(57, 18710.0)	(62, 13633.0)	(67, 11707.0)	(72, 10672.0)	(77, 20865.0)	(82, 15156.0)	(87, 14890.0)	(92, 14167.0)	(97, 17070.0)	(102, 17956.0)	(107, 22467.0)	(112, 30043.0)	(117, 33986.0)	(122, 36750.0)	(127, 44366.0)	(132, 64541.0)	(137, 71471.0)	(142, 67272.0)	(147, 48363.0)	(151, 160045.0)
ERR1755954_1	(32, 27628.0)	(37, 20614.0)	(42, 13636.0)	(47, 7947.0)	(52, 14856.0)	(57, 19061.0)	(62, 12099.0)	(67, 7964.0)	(72, 8814.0)	(77, 16532.0)	(82, 14366.0)	(87, 12864.0)	(92, 13278.0)	(97, 13959.0)	(102, 16764.0)	(107, 21486.0)	(112, 32014.0)	(117, 44121.0)	(122, 30168.0)	(127, 32984.0)	(132, 44337.0)	(137, 49720.0)	(142, 47284.0)	(147, 42022.0)	(151, 206724.0)
ERR1755954_2	(32, 19243.0)	(37, 12835.0)	(42, 8782.0)	(47, 11829.0)	(52, 11961.0)	(57, 16161.0)	(62, 12669.0)	(67, 10536.0)	(72, 10488.0)	(77, 22082.0)	(82, 15519.0)	(87, 12386.0)	(92, 12334.0)	(97, 13951.0)	(102, 15588.0)	(107, 19396.0)	(112, 25233.0)	(117, 30475.0)	(122, 34514.0)	(127, 40352.0)	(132, 46513.0)	(137, 64288.0)	(142, 67216.0)	(147, 56971.0)	(151, 179920.0)
ERR1755957_1	(32, 14393.0)	(37, 15372.0)	(42, 7135.0)	(47, 10844.0)	(52, 11272.0)	(57, 34531.0)	(62, 25175.0)	(67, 27237.0)	(72, 25297.0)	(77, 45661.0)	(82, 38607.0)	(87, 37429.0)	(92, 48602.0)	(97, 53353.0)	(102, 61664.0)	(107, 73748.0)	(112, 92246.0)	(117, 116072.0)	(122, 159814.0)	(127, 160122.0)	(132, 167237.0)	(137, 162683.0)	(142, 142945.0)	(147, 118867.0)	(151, 640012.0)
ERR1755957_2	(32, 17329.0)	(37, 15823.0)	(42, 10235.0)	(47, 12685.0)	(52, 11920.0)	(57, 35980.0)	(62, 28892.0)	(67, 29343.0)	(72, 31103.0)	(77, 55876.0)	(82, 53902.0)	(87, 57244.0)	(92, 74920.0)	(97, 76988.0)	(102, 90898.0)	(107, 105161.0)	(112, 112871.0)	(117, 138847.0)	(122, 186097.0)	(127, 168770.0)	(132, 161512.0)	(137, 182628.0)	(142, 163773.0)	(147, 104298.0)	(151, 363223.0)
