Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1755957_1	(1.0, 2.7145138797319848)	(2.0, 0.8734158313387049)	(3.0, 0.5784349596868208)	(4.0, 0.44238398335951606)	(5.0, 0.346021818804201)	(6.0, 0.29000339690820226)	(7.0, 0.23808920857278337)	(8.0, 0.23402863707135865)	(9.0, 0.20983985629943092)	('>10', 3.616441035698973)	('>50', 1.8144205302495113)	('>100', 5.205914637181388)	('>500', 3.441443502605315)	('>1k', 12.693564823749364)	('>5k', 8.58968055964281)	('>10k+', 58.71180333909963)
ERR1755957_2	(1.0, 4.9246737424123905)	(2.0, 1.2098937452240377)	(3.0, 0.7799418752483798)	(4.0, 0.5769817440833217)	(5.0, 0.4812558894750108)	(6.0, 0.4000078940586889)	(7.0, 0.3383052700380426)	(8.0, 0.28106668886747965)	(9.0, 0.26127853119834504)	('>10', 4.511956590460566)	('>50', 2.4659829500760564)	('>100', 6.585336664460673)	('>500', 3.5579579331699995)	('>1k', 13.70462309416547)	('>5k', 8.377294488677652)	('>10k+', 51.54344289838389)
ERR1755965_1	(1.0, 20.489783567573042)	(2.0, 2.9279962308615666)	(3.0, 1.578887776985554)	(4.0, 1.1256026805235664)	(5.0, 0.8503009726467604)	(6.0, 0.6898992167527923)	(7.0, 0.5826825795440383)	(8.0, 0.5110263293277686)	(9.0, 0.46788355740565674)	('>10', 7.603874403093723)	('>50', 3.6280450227407375)	('>100', 10.740301405951676)	('>500', 4.490919709937153)	('>1k', 11.036560564300942)	('>5k', 3.774678986400609)	('>10k+', 29.50155699595442)
ERR1755965_2	(1.0, 16.53179036099168)	(2.0, 2.6127517972008776)	(3.0, 1.4089179352556365)	(4.0, 1.002881910795883)	(5.0, 0.7580261822295031)	(6.0, 0.6132120961942633)	(7.0, 0.5422439262095893)	(8.0, 0.4715509797376261)	(9.0, 0.4169452476716519)	('>10', 6.489136399523154)	('>50', 3.4075494816726204)	('>100', 9.825016555688109)	('>500', 5.362013457610422)	('>1k', 15.036793816820326)	('>5k', 7.897724303312343)	('>10k+', 27.623445549086306)
ERR1755971_1	(1.0, 11.012760819078492)	(2.0, 2.312024796098183)	(3.0, 1.3799136229214597)	(4.0, 1.0188368910698706)	(5.0, 0.8211732851442919)	(6.0, 0.690818594258544)	(7.0, 0.548607432693565)	(8.0, 0.5165432110420617)	(9.0, 0.4511121870591134)	('>10', 7.398853587222422)	('>50', 3.674455271482134)	('>100', 10.705056675398955)	('>500', 5.1929889883159195)	('>1k', 12.850300588936916)	('>5k', 4.919891482798936)	('>10k+', 36.50666256647914)
ERR1755971_2	(1.0, 11.232654346174227)	(2.0, 2.33967385969984)	(3.0, 1.3853182698526239)	(4.0, 1.0154722875917634)	(5.0, 0.8269441608852771)	(6.0, 0.7107717556018727)	(7.0, 0.6160821811747975)	(8.0, 0.5268645336175043)	(9.0, 0.4640897810588678)	('>10', 7.668951213434355)	('>50', 3.858992248485215)	('>100', 10.283448631402146)	('>500', 5.61185172975427)	('>1k', 14.934975349061105)	('>5k', 4.887137360979095)	('>10k+', 33.63677229122705)
ERR1755973_1	(1.0, 23.200277344207052)	(2.0, 3.1047418256632935)	(3.0, 1.6300785084663052)	(4.0, 1.082548434259748)	(5.0, 0.8620913266785662)	(6.0, 0.6629017092569833)	(7.0, 0.5602472140351922)	(8.0, 0.4858921756589576)	(9.0, 0.4015011208025977)	('>10', 6.856229387617844)	('>50', 3.3053476677363283)	('>100', 9.257943792539727)	('>500', 4.628799203079282)	('>1k', 12.748349483303551)	('>5k', 5.010865617922534)	('>10k+', 26.202185188772013)
ERR1755973_2	(1.0, 17.83594229426379)	(2.0, 2.723285684908615)	(3.0, 1.4285594390929217)	(4.0, 0.9895085237272566)	(5.0, 0.7669162860720404)	(6.0, 0.6158046173946229)	(7.0, 0.5225317663835404)	(8.0, 0.47355404037993654)	(9.0, 0.4221544626239281)	('>10', 6.740825384781641)	('>50', 3.49551990623882)	('>100', 8.960982854595395)	('>500', 5.090006139379153)	('>1k', 13.85156301141158)	('>5k', 5.359192223912249)	('>10k+', 30.723653364834497)
ERR1755988_1	(1.0, 22.155939147714516)	(2.0, 3.571335264015711)	(3.0, 1.9805603667051648)	(4.0, 1.4215100756070047)	(5.0, 1.074159203042545)	(6.0, 0.9174852780045137)	(7.0, 0.7918163151974794)	(8.0, 0.6512927859884792)	(9.0, 0.598675490269634)	('>10', 9.617956994306793)	('>50', 4.205370615215508)	('>100', 10.169786524690771)	('>500', 5.479167855263327)	('>1k', 9.06291461529186)	('>5k', 4.0698387238999665)	('>10k+', 24.232190744786717)
ERR1755988_2	(1.0, 21.938558326958642)	(2.0, 3.3918096271117553)	(3.0, 1.9135276309495408)	(4.0, 1.2986223499712881)	(5.0, 1.0849220904214887)	(6.0, 0.896971611892789)	(7.0, 0.748801215979081)	(8.0, 0.658865398868951)	(9.0, 0.5526764780376621)	('>10', 9.32413577207262)	('>50', 3.842351237359399)	('>100', 9.933963163790773)	('>500', 5.216775573022594)	('>1k', 16.657563320434136)	('>5k', 3.6255715567656535)	('>10k+', 18.91488464636363)
ERR1755991_1	(1.0, 25.434318230730728)	(2.0, 3.37607009384215)	(3.0, 1.7440872277851474)	(4.0, 1.1473098558298118)	(5.0, 0.9018313389404851)	(6.0, 0.7483378182675499)	(7.0, 0.6096061328443276)	(8.0, 0.5607758153769054)	(9.0, 0.5049692056989481)	('>10', 8.140635578742325)	('>50', 3.878876168219087)	('>100', 10.945540565517247)	('>500', 4.786715522548089)	('>1k', 10.175951271138373)	('>5k', 0.9921045112451699)	('>10k+', 26.05287066327366)
ERR1755991_2	(1.0, 23.797707001539646)	(2.0, 3.2031092442790934)	(3.0, 1.6164898097408023)	(4.0, 1.1043976689301622)	(5.0, 0.8146809703568878)	(6.0, 0.6857560902978093)	(7.0, 0.5427292070134448)	(8.0, 0.48652018750075254)	(9.0, 0.4472185005723668)	('>10', 7.311304472037071)	('>50', 3.4869864403794653)	('>100', 9.810653689330477)	('>500', 5.49575509522396)	('>1k', 14.046715081873437)	('>5k', 4.2533196905214155)	('>10k+', 22.896656850403204)
ERR1756002_1	(1.0, 25.990667830860392)	(2.0, 3.736662478052714)	(3.0, 2.017383056672176)	(4.0, 1.3915401628370108)	(5.0, 1.0550827247809123)	(6.0, 0.8624906224441429)	(7.0, 0.729783031205358)	(8.0, 0.6196940037301178)	(9.0, 0.6249990666633712)	('>10', 9.745905522690967)	('>50', 4.418693854496719)	('>100', 11.585633442688017)	('>500', 5.8272924270384525)	('>1k', 10.626808104757167)	('>5k', 2.566401931314265)	('>10k+', 18.20096173976821)
ERR1756002_2	(1.0, 21.351076239884662)	(2.0, 3.4372575951415887)	(3.0, 1.8780909301562743)	(4.0, 1.259162437559944)	(5.0, 1.0373851975807857)	(6.0, 0.7920860258940208)	(7.0, 0.6776256163233361)	(8.0, 0.586245984331493)	(9.0, 0.5618218475965334)	('>10', 8.844059784386728)	('>50', 3.946761363534943)	('>100', 13.387522208021139)	('>500', 6.752240378265498)	('>1k', 17.178755062802164)	('>5k', 0.0)	('>10k+', 18.30990932852088)
ERR1756003_1	(1.0, 2.8552663948829693)	(2.0, 0.9068145076263443)	(3.0, 0.5964890700780207)	(4.0, 0.44281999015955575)	(5.0, 0.3687970056933999)	(6.0, 0.31946299290082236)	(7.0, 0.2555440359879103)	(8.0, 0.24249666127785197)	(9.0, 0.22022387010613623)	('>10', 3.6964047234132282)	('>50', 1.878294791593449)	('>100', 5.82497188444507)	('>500', 3.7909872074225066)	('>1k', 12.178647993252268)	('>5k', 6.61488718633584)	('>10k+', 59.80789168482463)
ERR1756003_2	(1.0, 5.494831463939441)	(2.0, 1.2973909259764225)	(3.0, 0.7761462413509936)	(4.0, 0.6079969302364604)	(5.0, 0.4978350124939295)	(6.0, 0.40057370326968217)	(7.0, 0.35922647656632817)	(8.0, 0.3238924159652305)	(9.0, 0.2947988426480464)	('>10', 4.8218959761660125)	('>50', 2.2867748484067607)	('>100', 7.2530952570633715)	('>500', 4.312275814735345)	('>1k', 12.107321453358342)	('>5k', 6.701575857375314)	('>10k+', 52.46436878044831)
ERR1756007_1	(1.0, 22.66766210222056)	(2.0, 3.4322431536427973)	(3.0, 1.834165999405713)	(4.0, 1.2480734961660955)	(5.0, 0.9598084515258423)	(6.0, 0.7759711433963058)	(7.0, 0.6658090811162255)	(8.0, 0.6026410432815182)	(9.0, 0.5026889202195141)	('>10', 8.248110941693271)	('>50', 4.168009412443573)	('>100', 10.942319087710581)	('>500', 4.470207529352478)	('>1k', 10.779385697405152)	('>5k', 4.968200440188723)	('>10k+', 23.734703500231653)
ERR1756007_2	(1.0, 20.954725589224747)	(2.0, 3.1149552928467887)	(3.0, 1.6911629220518598)	(4.0, 1.1576669368240293)	(5.0, 0.891644422131316)	(6.0, 0.7307214593563284)	(7.0, 0.6587276870799847)	(8.0, 0.511883003079823)	(9.0, 0.4551893330185285)	('>10', 7.956024182172215)	('>50', 3.865685107306513)	('>100', 10.702194340334854)	('>500', 5.303118084912487)	('>1k', 14.690481322941757)	('>5k', 2.2083650028087516)	('>10k+', 25.10745531391001)
ERR1756017_1	(1.0, 20.730361104860368)	(2.0, 3.075050669777643)	(3.0, 1.703449687166248)	(4.0, 1.2052683202729997)	(5.0, 0.8709712966479757)	(6.0, 0.7434639969110316)	(7.0, 0.6132305051018949)	(8.0, 0.5415070029087032)	(9.0, 0.4354721306372833)	('>10', 8.429372095331711)	('>50', 3.96245598900177)	('>100', 10.876814350751598)	('>500', 4.901028724417673)	('>1k', 12.877715085989935)	('>5k', 2.7164394913633543)	('>10k+', 26.31739954885981)
ERR1756017_2	(1.0, 20.022896671556133)	(2.0, 2.92348171207719)	(3.0, 1.519566648587437)	(4.0, 1.030725069636376)	(5.0, 0.7710565878538782)	(6.0, 0.6770344124747423)	(7.0, 0.5431842701445496)	(8.0, 0.4636268907036038)	(9.0, 0.4425779846158359)	('>10', 6.863002319271845)	('>50', 3.1442881249086168)	('>100', 9.666146744812853)	('>500', 4.51005301195356)	('>1k', 14.09239575927261)	('>5k', 6.989078647634667)	('>10k+', 26.340885144496117)
ERR1756023_1	(1.0, 15.474889312038561)	(2.0, 2.5934403804794224)	(3.0, 1.4486520430731897)	(4.0, 0.9641190266098554)	(5.0, 0.7731824253969568)	(6.0, 0.5919751784598342)	(7.0, 0.5113214035272527)	(8.0, 0.42294586038119153)	(9.0, 0.3959323932601295)	('>10', 6.23533882057417)	('>50', 3.1031886353961107)	('>100', 9.708056243674399)	('>500', 4.231281269363345)	('>1k', 13.002949132188233)	('>5k', 4.670199247784629)	('>10k+', 35.87252862779275)
ERR1756023_2	(1.0, 16.758584806610617)	(2.0, 2.4361954956629517)	(3.0, 1.2612474616031952)	(4.0, 0.8887068218107761)	(5.0, 0.6809153286444833)	(6.0, 0.5232328716179692)	(7.0, 0.45567736114268165)	(8.0, 0.3890345941737746)	(9.0, 0.35101281312633414)	('>10', 5.5944246161160756)	('>50', 2.721778436986635)	('>100', 7.922012691942824)	('>500', 3.8480492938886037)	('>1k', 10.12277426134035)	('>5k', 8.757140782988436)	('>10k+', 37.28921236234427)
