Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR3518769_1	(32, 9091.0)	(37, 7429.0)	(42, 9771.0)	(47, 12594.0)	(52, 10371.0)	(57, 23393.0)	(62, 20230.0)	(67, 14092.0)	(72, 15720.0)	(77, 34688.0)	(82, 13415.0)	(87, 9355.0)	(92, 6737.0)	(97, 7813.0)	(102, 4975.0)	(107, 6229.0)	(112, 6529.0)	(117, 9371.0)	(122, 10246.0)	(127, 35392.0)	(132, 254743.0)	(137, 33651.0)	(142, 169032.0)	(147, 289390.0)	(151, 2475937.0)
ERR3518769_2	(32, 24381.0)	(37, 16272.0)	(42, 17948.0)	(47, 31332.0)	(52, 20486.0)	(57, 36390.0)	(62, 27319.0)	(67, 19055.0)	(72, 18688.0)	(77, 36197.0)	(82, 12980.0)	(87, 9749.0)	(92, 6449.0)	(97, 6960.0)	(102, 4545.0)	(107, 6526.0)	(112, 7287.0)	(117, 10132.0)	(122, 9433.0)	(127, 13296.0)	(132, 263185.0)	(137, 22617.0)	(142, 169071.0)	(147, 109410.0)	(151, 2590486.0)
ERR3518770_1	(32, 5879.0)	(37, 5576.0)	(42, 6565.0)	(47, 8914.0)	(52, 7637.0)	(57, 18026.0)	(62, 15261.0)	(67, 10529.0)	(72, 11254.0)	(77, 26267.0)	(82, 9699.0)	(87, 7165.0)	(92, 5416.0)	(97, 5924.0)	(102, 3983.0)	(107, 4636.0)	(112, 4876.0)	(117, 7289.0)	(122, 7807.0)	(127, 21385.0)	(132, 243675.0)	(137, 24184.0)	(142, 156302.0)	(147, 158430.0)	(151, 2403421.0)
ERR3518770_2	(32, 14126.0)	(37, 8708.0)	(42, 7458.0)	(47, 15618.0)	(52, 8599.0)	(57, 23628.0)	(62, 15932.0)	(67, 10871.0)	(72, 11599.0)	(77, 24249.0)	(82, 9514.0)	(87, 7425.0)	(92, 5206.0)	(97, 5754.0)	(102, 3737.0)	(107, 5079.0)	(112, 5279.0)	(117, 7457.0)	(122, 6684.0)	(127, 9100.0)	(132, 249937.0)	(137, 16821.0)	(142, 155727.0)	(147, 69646.0)	(151, 2481946.0)
ERR3518780_1	(32, 6034.0)	(37, 5571.0)	(42, 8664.0)	(47, 9544.0)	(52, 8085.0)	(57, 21184.0)	(62, 12269.0)	(67, 7948.0)	(72, 9925.0)	(77, 25192.0)	(82, 10380.0)	(87, 9376.0)	(92, 7561.0)	(97, 4339.0)	(102, 4219.0)	(107, 5767.0)	(112, 4919.0)	(117, 7451.0)	(122, 8898.0)	(127, 13943.0)	(132, 254804.0)	(137, 66437.0)	(142, 404085.0)	(147, 76193.0)	(151, 2760192.0)
ERR3518780_2	(32, 11167.0)	(37, 8542.0)	(42, 8760.0)	(47, 11928.0)	(52, 8970.0)	(57, 25917.0)	(62, 13082.0)	(67, 8423.0)	(72, 9032.0)	(77, 23580.0)	(82, 8971.0)	(87, 8664.0)	(92, 7356.0)	(97, 4170.0)	(102, 4146.0)	(107, 5629.0)	(112, 5122.0)	(117, 6866.0)	(122, 7037.0)	(127, 10551.0)	(132, 252753.0)	(137, 61707.0)	(142, 401193.0)	(147, 56250.0)	(151, 2783164.0)
ERR3518791_1	(32, 7703.0)	(37, 5756.0)	(42, 7861.0)	(47, 11523.0)	(52, 8547.0)	(57, 25822.0)	(62, 13841.0)	(67, 11129.0)	(72, 11569.0)	(77, 26704.0)	(82, 12142.0)	(87, 11990.0)	(92, 6486.0)	(97, 5164.0)	(102, 5446.0)	(107, 5703.0)	(112, 4340.0)	(117, 6721.0)	(122, 8577.0)	(127, 15249.0)	(132, 360252.0)	(137, 28359.0)	(142, 131651.0)	(147, 76090.0)	(151, 2687433.0)
ERR3518791_2	(32, 12628.0)	(37, 8917.0)	(42, 7763.0)	(47, 13883.0)	(52, 9178.0)	(57, 29565.0)	(62, 14163.0)	(67, 11168.0)	(72, 10684.0)	(77, 24379.0)	(82, 10609.0)	(87, 11263.0)	(92, 5766.0)	(97, 4769.0)	(102, 4869.0)	(107, 5350.0)	(112, 4521.0)	(117, 6086.0)	(122, 7008.0)	(127, 11143.0)	(132, 360072.0)	(137, 25119.0)	(142, 129225.0)	(147, 54064.0)	(151, 2713866.0)
ERR3518798_1	(32, 7433.0)	(37, 5434.0)	(42, 5482.0)	(47, 8391.0)	(52, 8725.0)	(57, 22705.0)	(62, 15339.0)	(67, 10735.0)	(72, 10736.0)	(77, 32210.0)	(82, 10028.0)	(87, 8523.0)	(92, 5304.0)	(97, 3753.0)	(102, 3883.0)	(107, 4569.0)	(112, 4932.0)	(117, 5756.0)	(122, 6707.0)	(127, 13776.0)	(132, 97657.0)	(137, 43554.0)	(142, 248722.0)	(147, 88706.0)	(151, 2864631.0)
ERR3518798_2	(32, 12454.0)	(37, 8642.0)	(42, 7079.0)	(47, 10771.0)	(52, 8426.0)	(57, 27524.0)	(62, 14868.0)	(67, 10433.0)	(72, 10175.0)	(77, 29333.0)	(82, 8927.0)	(87, 7937.0)	(92, 4889.0)	(97, 3785.0)	(102, 3697.0)	(107, 4684.0)	(112, 4737.0)	(117, 5370.0)	(122, 6103.0)	(127, 12430.0)	(132, 95259.0)	(137, 39050.0)	(142, 246903.0)	(147, 81346.0)	(151, 2872869.0)
ERR3518807_1	(32, 7061.0)	(37, 5820.0)	(42, 5637.0)	(47, 7641.0)	(52, 7034.0)	(57, 21862.0)	(62, 11429.0)	(67, 11079.0)	(72, 12440.0)	(77, 27711.0)	(82, 12938.0)	(87, 9262.0)	(92, 6440.0)	(97, 4703.0)	(102, 4087.0)	(107, 5449.0)	(112, 5191.0)	(117, 5733.0)	(122, 6115.0)	(127, 15864.0)	(132, 169558.0)	(137, 21946.0)	(142, 85947.0)	(147, 97719.0)	(151, 2866037.0)
ERR3518807_2	(32, 13720.0)	(37, 7322.0)	(42, 5509.0)	(47, 10046.0)	(52, 7227.0)	(57, 25674.0)	(62, 10860.0)	(67, 11365.0)	(72, 12349.0)	(77, 25010.0)	(82, 11016.0)	(87, 8708.0)	(92, 6954.0)	(97, 4655.0)	(102, 3588.0)	(107, 5137.0)	(112, 4838.0)	(117, 5991.0)	(122, 6268.0)	(127, 12238.0)	(132, 169668.0)	(137, 17912.0)	(142, 84586.0)	(147, 76924.0)	(151, 2887138.0)
ERR3518820_1	(32, 4738.0)	(37, 5320.0)	(42, 7342.0)	(47, 8467.0)	(52, 7594.0)	(57, 21146.0)	(62, 12200.0)	(67, 9516.0)	(72, 13748.0)	(77, 22854.0)	(82, 10790.0)	(87, 11351.0)	(92, 6072.0)	(97, 5298.0)	(102, 4299.0)	(107, 5663.0)	(112, 4992.0)	(117, 7901.0)	(122, 6336.0)	(127, 25126.0)	(132, 392587.0)	(137, 39121.0)	(142, 325866.0)	(147, 122335.0)	(151, 2363437.0)
ERR3518820_2	(32, 10111.0)	(37, 7722.0)	(42, 6923.0)	(47, 10812.0)	(52, 8788.0)	(57, 26572.0)	(62, 12496.0)	(67, 10039.0)	(72, 13525.0)	(77, 20432.0)	(82, 8619.0)	(87, 11749.0)	(92, 5546.0)	(97, 4575.0)	(102, 3950.0)	(107, 5007.0)	(112, 4911.0)	(117, 7741.0)	(122, 5936.0)	(127, 18308.0)	(132, 395340.0)	(137, 32965.0)	(142, 325838.0)	(147, 93594.0)	(151, 2392600.0)
ERR4223600_1	(251, 437488.0)																								
ERR4223600_2	(251, 437488.0)																								
