Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR3518754_1	(18.0, 9.0)	(19.0, 38.0)	(20.0, 195.0)	(21.0, 630.0)	(22.0, 1844.0)	(23.0, 4374.0)	(24.0, 8999.0)	(25.0, 15291.0)	(26.0, 23052.0)	(27.0, 30671.0)	(28.0, 37834.0)	(29.0, 47048.0)	(30.0, 56957.0)	(31.0, 71333.0)	(32.0, 92165.0)	(33.0, 125490.0)	(34.0, 200582.0)	(35.0, 571077.0)	(36.0, 1206988.0)	(37.0, 565467.0)	(38.0, 4870.0)	(39.0, 2098.0)	(40.0, 25.0)															
ERR3518754_2	(18.0, 14.0)	(19.0, 132.0)	(20.0, 651.0)	(21.0, 2119.0)	(22.0, 5339.0)	(23.0, 10313.0)	(24.0, 17281.0)	(25.0, 25356.0)	(26.0, 35056.0)	(27.0, 42814.0)	(28.0, 51085.0)	(29.0, 57829.0)	(30.0, 66844.0)	(31.0, 82318.0)	(32.0, 106350.0)	(33.0, 144903.0)	(34.0, 241184.0)	(35.0, 663107.0)	(36.0, 1073335.0)	(37.0, 433743.0)	(38.0, 4924.0)	(39.0, 2328.0)	(40.0, 12.0)															
ERR3518769_1	(18.0, 14.0)	(19.0, 69.0)	(20.0, 305.0)	(21.0, 985.0)	(22.0, 2732.0)	(23.0, 6218.0)	(24.0, 12399.0)	(25.0, 21290.0)	(26.0, 31671.0)	(27.0, 41619.0)	(28.0, 53655.0)	(29.0, 67050.0)	(30.0, 80727.0)	(31.0, 97531.0)	(32.0, 121395.0)	(33.0, 162433.0)	(34.0, 266420.0)	(35.0, 735768.0)	(36.0, 1261102.0)	(37.0, 518368.0)	(38.0, 6880.0)	(39.0, 1554.0)	(40.0, 9.0)															
ERR3518769_2	(17.0, 2.0)	(18.0, 54.0)	(19.0, 412.0)	(20.0, 1612.0)	(21.0, 5159.0)	(22.0, 12015.0)	(23.0, 22908.0)	(24.0, 38008.0)	(25.0, 57601.0)	(26.0, 92452.0)	(27.0, 155868.0)	(28.0, 114309.0)	(29.0, 155594.0)	(30.0, 124761.0)	(31.0, 148536.0)	(32.0, 192462.0)	(33.0, 289158.0)	(34.0, 437862.0)	(35.0, 780055.0)	(36.0, 717364.0)	(37.0, 141587.0)	(38.0, 2151.0)	(39.0, 264.0)															
ERR3518770_1	(17.0, 1.0)	(18.0, 12.0)	(19.0, 63.0)	(20.0, 226.0)	(21.0, 758.0)	(22.0, 2007.0)	(23.0, 4680.0)	(24.0, 9108.0)	(25.0, 15567.0)	(26.0, 23093.0)	(27.0, 30791.0)	(28.0, 39745.0)	(29.0, 50033.0)	(30.0, 60255.0)	(31.0, 74624.0)	(32.0, 93303.0)	(33.0, 124251.0)	(34.0, 200945.0)	(35.0, 554031.0)	(36.0, 1288353.0)	(37.0, 601010.0)	(38.0, 5722.0)	(39.0, 1514.0)	(40.0, 8.0)														
ERR3518770_2	(17.0, 1.0)	(18.0, 18.0)	(19.0, 158.0)	(20.0, 585.0)	(21.0, 1678.0)	(22.0, 4410.0)	(23.0, 8999.0)	(24.0, 14873.0)	(25.0, 22564.0)	(26.0, 31222.0)	(27.0, 39365.0)	(28.0, 49295.0)	(29.0, 57991.0)	(30.0, 67976.0)	(31.0, 81834.0)	(32.0, 102197.0)	(33.0, 138364.0)	(34.0, 224222.0)	(35.0, 632464.0)	(36.0, 1169493.0)	(37.0, 525391.0)	(38.0, 5637.0)	(39.0, 1355.0)	(40.0, 8.0)														
ERR3518780_1	(17.0, 1.0)	(18.0, 9.0)	(19.0, 53.0)	(20.0, 205.0)	(21.0, 724.0)	(22.0, 2147.0)	(23.0, 4717.0)	(24.0, 9438.0)	(25.0, 16316.0)	(26.0, 23335.0)	(27.0, 30057.0)	(28.0, 36973.0)	(29.0, 45196.0)	(30.0, 54314.0)	(31.0, 66763.0)	(32.0, 82672.0)	(33.0, 112144.0)	(34.0, 187306.0)	(35.0, 608763.0)	(36.0, 1570166.0)	(37.0, 895048.0)	(38.0, 5187.0)	(39.0, 1433.0)	(40.0, 13.0)														
ERR3518780_2	(17.0, 1.0)	(18.0, 10.0)	(19.0, 84.0)	(20.0, 425.0)	(21.0, 1267.0)	(22.0, 3267.0)	(23.0, 6978.0)	(24.0, 12359.0)	(25.0, 19915.0)	(26.0, 27635.0)	(27.0, 35235.0)	(28.0, 42878.0)	(29.0, 49780.0)	(30.0, 60572.0)	(31.0, 74869.0)	(32.0, 95577.0)	(33.0, 131938.0)	(34.0, 231005.0)	(35.0, 779338.0)	(36.0, 1508162.0)	(37.0, 666507.0)	(38.0, 4117.0)	(39.0, 1056.0)	(40.0, 5.0)														
ERR3518791_1	(17.0, 1.0)	(18.0, 9.0)	(19.0, 48.0)	(20.0, 180.0)	(21.0, 660.0)	(22.0, 1904.0)	(23.0, 4435.0)	(24.0, 8676.0)	(25.0, 14878.0)	(26.0, 21771.0)	(27.0, 28048.0)	(28.0, 35344.0)	(29.0, 43506.0)	(30.0, 52841.0)	(31.0, 64571.0)	(32.0, 81110.0)	(33.0, 109479.0)	(34.0, 174296.0)	(35.0, 560218.0)	(36.0, 1481841.0)	(37.0, 804145.0)	(38.0, 6245.0)	(39.0, 1841.0)	(40.0, 11.0)														
ERR3518791_2	(18.0, 9.0)	(19.0, 102.0)	(20.0, 423.0)	(21.0, 1266.0)	(22.0, 3178.0)	(23.0, 6335.0)	(24.0, 11555.0)	(25.0, 18410.0)	(26.0, 25498.0)	(27.0, 32971.0)	(28.0, 39674.0)	(29.0, 46600.0)	(30.0, 57710.0)	(31.0, 70610.0)	(32.0, 89761.0)	(33.0, 124414.0)	(34.0, 208644.0)	(35.0, 693132.0)	(36.0, 1474763.0)	(37.0, 584729.0)	(38.0, 5100.0)	(39.0, 1172.0)	(40.0, 2.0)															
